Name of Student,GENERAL APPEARANCE,MANNER OF SPEAKING,PHYSICAL CONDITION,MENTAL ALERTNESS,SELF-CONFIDENCE,ABILITY TO PRESENT IDEAS,COMMUNICATION SKILLS,Student Performance Rating,CLASS
Student 1560,4,4,4,4,4,4,4,5,LessEmployable
Student 1561,4,5,4,4,4,4,4,5,LessEmployable
Student 1562,5,5,4,5,5,5,5,5,Employable
Student 1563,4,4,4,4,4,4,4,5,Employable
Student 1564,5,4,4,4,4,4,3,4,LessEmployable
Student 1565,5,4,4,4,4,4,3,3,LessEmployable
Student 1566,5,5,4,4,5,4,5,3,LessEmployable
Student 1567,5,4,4,4,4,4,3,5,Employable
Student 1568,5,4,4,4,4,4,3,5,Employable
Student 1569,5,5,4,4,5,4,4,5,Employable
Student 1570,4,3,4,4,4,3,3,4,Employable
Student 1571,5,4,3,3,3,4,4,5,LessEmployable
Student 1572,5,5,5,5,5,5,5,5,Employable
Student 1573,5,4,5,5,5,5,4,5,Employable
Student 1574,5,4,5,5,5,5,4,5,Employable
Student 1575,5,3,5,4,4,3,3,5,Employable
Student 1576,5,4,5,5,5,4,4,4,Employable
Student 1577,5,3,5,4,4,4,3,4,LessEmployable
Student 1578,5,5,5,5,5,4,3,4,Employable
Student 1579,5,5,5,5,5,5,3,5,Employable
Student 1580,5,4,4,4,4,4,4,5,LessEmployable
Student 1581,4,3,4,4,4,3,3,5,LessEmployable
Student 1582,4,4,4,4,4,4,3,5,LessEmployable
Student 1583,4,4,5,4,4,4,3,5,LessEmployable
Student 1584,5,3,5,4,5,5,3,5,Employable
Student 1585,5,3,3,3,3,3,2,5,Employable
Student 1586,4,3,4,3,4,3,4,4,Employable
Student 1587,4,3,4,4,4,3,3,3,Employable
Student 1588,4,3,3,2,3,2,3,4,Employable
Student 1589,5,5,5,5,5,5,4,5,LessEmployable
Student 1590,4,3,4,3,4,3,4,5,LessEmployable
Student 1591,3,3,4,4,4,3,3,4,LessEmployable
Student 1592,4,3,4,4,4,3,3,5,Employable
Student 1593,4,4,4,4,4,3,3,5,Employable
Student 1594,4,4,5,5,4,5,5,5,LessEmployable
Student 1595,4,5,5,5,5,4,5,5,Employable
Student 1596,4,5,5,5,5,4,5,5,Employable
Student 1597,4,4,3,4,4,4,4,5,LessEmployable
Student 1598,4,3,4,4,4,3,3,4,LessEmployable
Student 1599,4,3,4,4,3,4,4,5,LessEmployable
Student 1600,3,3,4,4,4,4,4,5,LessEmployable
Student 1601,5,4,4,4,5,4,5,5,LessEmployable
Student 1602,3,3,3,3,4,3,3,3,Employable
Student 1603,3,3,4,3,4,3,3,3,Employable
Student 1604,3,4,3,4,3,4,3,5,Employable
Student 1605,4,4,4,3,4,4,3,4,LessEmployable
Student 1606,5,4,4,3,3,4,4,4,LessEmployable
Student 1607,4,3,2,4,3,4,3,5,LessEmployable
Student 1608,5,5,5,4,5,4,5,5,LessEmployable
Student 1609,4,2,4,4,3,3,3,5,LessEmployable
Student 1610,5,5,5,5,5,5,5,5,LessEmployable
Student 1611,4,3,3,4,3,3,3,3,Employable
Student 1612,5,4,3,3,3,3,2,3,LessEmployable
Student 1613,5,5,5,5,5,4,5,5,Employable
Student 1614,4,5,5,5,5,5,5,3,LessEmployable
Student 1615,4,5,5,3,3,5,3,5,LessEmployable
Student 1616,4,5,3,5,5,5,3,5,Employable
Student 1617,3,5,5,3,5,5,3,5,Employable
Student 1618,3,3,3,3,3,3,3,5,Employable
Student 1619,4,3,4,4,4,3,3,5,Employable
Student 1620,4,3,4,2,2,2,2,5,LessEmployable
Student 1621,3,2,3,3,3,3,3,5,LessEmployable
Student 1622,5,5,4,5,4,5,4,5,LessEmployable
Student 1623,3,4,3,4,3,4,3,5,Employable
Student 1624,4,3,3,3,3,3,3,5,Employable
Student 1625,5,4,4,4,4,4,4,5,Employable
Student 1626,4,4,4,4,4,4,4,4,Employable
Student 1627,4,4,4,4,3,3,3,5,LessEmployable
Student 1628,5,4,5,5,5,5,4,5,LessEmployable
Student 1629,3,4,3,3,3,3,3,5,LessEmployable
Student 1630,4,3,3,3,3,3,3,5,Employable
Student 1631,4,5,4,4,4,4,4,5,LessEmployable
Student 1632,5,4,4,4,4,4,4,5,Employable
Student 1633,5,5,4,5,4,4,5,4,Employable
Student 1634,4,4,4,4,5,5,5,3,Employable
Student 1635,4,3,3,4,3,3,3,5,LessEmployable
Student 1636,4,5,5,5,4,4,4,5,Employable
Student 1637,4,4,4,3,3,4,3,5,Employable
Student 1638,4,4,4,3,3,4,3,5,Employable
Student 1639,4,5,4,5,5,5,5,5,Employable
Student 1640,4,4,4,4,4,4,3,5,Employable
Student 1641,4,3,3,3,3,3,2,5,LessEmployable
Student 1642,3,3,3,2,3,3,3,5,LessEmployable
Student 1643,4,4,3,3,4,4,3,5,Employable
Student 1644,4,4,3,3,3,3,3,5,Employable
Student 1645,4,4,4,3,3,3,3,3,Employable
Student 1646,5,3,3,4,3,3,3,5,Employable
Student 1647,4,4,4,4,4,4,4,5,Employable
Student 1648,4,4,3,4,3,4,4,5,Employable
Student 1649,5,5,5,5,5,5,4,5,LessEmployable
Student 1650,3,4,4,4,3,4,4,5,Employable
Student 1651,4,3,3,2,3,3,2,5,LessEmployable
Student 1652,3,3,3,3,3,2,2,4,LessEmployable
Student 1653,4,4,3,4,4,4,3,5,LessEmployable
Student 1654,3,3,3,3,3,3,3,4,LessEmployable
Student 1655,5,3,3,3,3,3,3,4,LessEmployable
Student 1656,4,4,4,4,4,4,4,5,LessEmployable
Student 1657,4,4,4,5,5,4,4,5,LessEmployable
Student 1664,5,5,4,4,5,5,4,3,Employable
Student 1665,4,4,4,4,3,3,3,3,LessEmployable
Student 1666,5,5,5,5,5,4,4,3,Employable
Student 1667,5,4,4,4,4,5,4,5,Employable
Student 1668,5,5,5,5,5,5,4,5,Employable
Student 1669,4,3,4,4,3,4,3,5,LessEmployable
Student 1670,4,3,4,4,3,3,3,3,LessEmployable
Student 1671,5,5,4,5,5,4,4,5,LessEmployable
Student 1672,4,4,4,5,5,4,3,5,LessEmployable
Student 1673,5,4,5,5,5,5,5,5,Employable
Student 1674,5,3,3,4,5,3,3,3,Employable
Student 1675,5,5,5,5,4,5,4,5,Employable
Student 1676,5,5,4,5,4,5,5,5,Employable
Student 1677,4,4,3,3,3,4,4,3,LessEmployable
Student 1678,5,5,5,5,5,4,4,5,Employable
Student 1679,5,5,5,5,5,4,4,5,Employable
Student 1680,5,4,5,5,5,4,4,3,Employable
Student 1681,5,4,5,5,5,4,4,5,Employable
Student 1682,4,3,4,3,4,3,3,5,LessEmployable
Student 1683,5,4,5,5,4,4,4,5,LessEmployable
Student 1684,5,3,4,4,3,4,3,5,LessEmployable
Student 1685,5,3,3,3,4,3,3,3,LessEmployable
Student 1686,5,4,5,5,5,4,4,5,Employable
Student 1687,5,5,5,5,5,4,4,3,Employable
Student 1688,5,4,5,5,5,4,4,5,Employable
Student 1689,5,5,5,5,5,5,4,5,Employable
Student 1690,5,4,5,5,5,4,4,5,Employable
Student 1691,5,5,5,5,5,5,4,5,Employable
Student 1692,5,4,5,5,4,4,4,3,Employable
Student 1693,5,3,4,4,4,4,3,5,LessEmployable
Student 1694,4,4,4,4,3,4,4,5,LessEmployable
Student 1696,4,5,4,4,4,5,4,5,Employable
Student 1697,4,3,3,3,3,3,3,5,Employable
Student 1698,4,4,4,4,5,4,4,5,LessEmployable
Student 1699,3,3,3,4,3,3,3,5,Employable
Student 1700,4,4,4,3,4,4,3,5,Employable
Student 1701,4,4,4,3,4,4,3,4,LessEmployable
Student 1702,4,4,4,4,4,4,3,4,Employable
Student 1703,3,3,3,4,4,4,3,5,Employable
Student 1704,5,5,3,5,4,4,3,5,Employable
Student 1705,4,4,4,4,4,4,3,5,Employable
Student 1706,4,5,5,5,5,5,5,5,Employable
Student 1707,4,4,4,4,4,4,4,4,Employable
Student 1708,4,3,3,3,3,3,3,5,Employable
Student 1709,3,4,3,4,3,4,3,5,Employable
Student 1710,4,4,4,4,4,4,4,5,LessEmployable
Student 1711,4,3,3,3,4,3,4,5,LessEmployable
Student 1712,4,4,4,4,3,4,3,4,Employable
Student 1713,3,4,4,4,3,4,3,5,Employable
Student 1714,5,4,4,4,4,4,4,5,Employable
Student 1715,4,4,4,3,3,4,4,5,Employable
Student 1716,3,4,4,3,4,4,3,5,LessEmployable
Student 1717,4,3,2,3,2,2,3,5,Employable
Student 1718,4,3,4,3,4,3,3,4,Employable
Student 1719,4,4,3,4,3,4,3,5,LessEmployable
Student 1720,4,4,4,4,3,3,3,5,Employable
Student 1721,5,3,3,4,3,3,3,4,LessEmployable
Student 1722,4,3,3,3,3,3,2,5,Employable
Student 1723,3,4,4,4,4,4,4,5,Employable
Student 1724,4,5,4,5,4,4,4,5,Employable
Student 1725,4,4,4,3,4,4,3,5,LessEmployable
Student 1726,4,4,4,4,3,4,4,5,Employable
Student 1727,5,5,5,5,5,5,4,5,Employable
Student 1728,3,3,3,3,3,2,2,4,Employable
Student 1729,4,4,4,4,4,4,3,5,LessEmployable
Student 1730,4,4,4,4,4,4,4,5,LessEmployable
Student 1731,4,3,3,3,3,3,2,5,Employable
Student 1732,5,4,4,4,4,4,4,4,Employable
Student 1733,3,3,3,3,3,3,3,5,LessEmployable
Student 1734,4,3,4,3,3,3,3,5,Employable
Student 1735,4,3,4,3,3,3,2,5,Employable
Student 1736,2,2,3,3,3,3,3,5,LessEmployable
Student 1737,4,4,3,4,3,4,3,4,LessEmployable
Student 1738,4,4,4,3,3,4,3,5,Employable
Student 1739,4,4,5,4,4,4,4,5,LessEmployable
Student 1740,5,4,4,4,4,3,3,5,LessEmployable
Student 1741,4,4,4,4,3,4,3,5,LessEmployable
Student 1742,4,4,4,4,4,4,4,5,LessEmployable
Student 1743,4,5,4,4,4,4,4,5,LessEmployable
Student 1744,5,5,4,5,5,5,5,5,Employable
Student 1745,4,4,4,4,4,4,4,5,Employable
Student 1746,5,4,4,4,4,4,3,4,LessEmployable
Student 1747,5,4,4,4,4,4,3,3,LessEmployable
Student 1748,5,5,4,4,5,4,5,3,LessEmployable
Student 1749,5,4,4,4,4,4,3,5,Employable
Student 1750,5,4,4,4,4,4,3,5,Employable
Student 1751,5,5,4,4,5,4,4,5,Employable
Student 1752,4,3,4,4,4,3,3,4,Employable
Student 1753,5,4,3,3,3,4,4,5,LessEmployable
Student 1754,5,5,5,5,5,5,5,5,Employable
Student 1755,5,4,5,5,5,5,4,5,Employable
Student 1756,5,4,5,5,5,5,4,5,Employable
Student 1757,5,3,5,4,4,3,3,5,Employable
Student 1758,5,4,5,5,5,4,4,4,Employable
Student 1759,5,3,5,4,4,4,3,4,LessEmployable
Student 1760,5,5,5,5,5,4,3,4,Employable
Student 1761,5,5,5,5,5,5,3,5,Employable
Student 1762,5,4,4,4,4,4,4,5,LessEmployable
Student 1763,4,3,4,4,4,3,3,5,LessEmployable
Student 1764,4,4,4,4,4,4,3,5,LessEmployable
Student 1765,4,4,5,4,4,4,3,5,LessEmployable
Student 1766,5,3,5,4,5,5,3,5,Employable
Student 1767,5,3,3,3,3,3,2,5,Employable
Student 1768,4,3,4,3,4,3,4,4,Employable
Student 1769,4,3,4,4,4,3,3,3,Employable
Student 1770,4,3,3,2,3,2,3,4,Employable
Student 1771,5,5,5,5,5,5,4,5,LessEmployable
Student 1772,4,3,4,3,4,3,4,5,LessEmployable
Student 1773,3,3,4,4,4,3,3,4,LessEmployable
Student 1774,4,3,4,4,4,3,3,5,Employable
Student 1775,4,4,4,4,4,3,3,5,Employable
Student 1776,4,4,5,5,4,5,5,5,LessEmployable
Student 1777,4,5,5,5,5,4,5,5,Employable
Student 1778,4,5,5,5,5,4,5,5,Employable
Student 1779,4,4,3,4,4,4,4,5,LessEmployable
Student 1780,4,3,4,4,4,3,3,4,LessEmployable
Student 1781,4,3,4,4,3,4,4,5,LessEmployable
Student 1782,3,3,4,4,4,4,4,5,LessEmployable
Student 1783,5,4,4,4,5,4,5,5,LessEmployable
Student 1784,3,3,3,3,4,3,3,3,Employable
Student 1785,3,3,4,3,4,3,3,3,Employable
Student 1786,3,4,3,4,3,4,3,5,Employable
Student 1787,4,4,4,3,4,4,3,4,LessEmployable
Student 1788,5,4,4,3,3,4,4,4,LessEmployable
Student 1789,4,3,2,4,3,4,3,5,LessEmployable
Student 1790,5,5,5,4,5,4,5,5,LessEmployable
Student 1791,4,2,4,4,3,3,3,5,LessEmployable
Student 1792,5,5,5,5,5,5,5,5,LessEmployable
Student 1793,4,3,3,4,3,3,3,3,Employable
Student 1794,5,4,3,3,3,3,2,3,LessEmployable
Student 1795,5,5,5,5,5,4,5,5,Employable
Student 1796,4,5,5,5,5,5,5,3,LessEmployable
Student 1797,4,5,5,3,3,5,3,5,LessEmployable
Student 1798,4,5,3,5,5,5,3,5,Employable
Student 1799,3,5,5,3,5,5,3,5,Employable
Student 1800,3,3,3,3,3,3,3,5,Employable
Student 1801,4,3,4,4,4,3,3,5,Employable
Student 1802,4,3,4,2,2,2,2,5,LessEmployable
Student 1803,3,2,3,3,3,3,3,5,LessEmployable
Student 1804,5,5,4,5,4,5,4,5,LessEmployable
Student 1805,3,4,3,4,3,4,3,5,Employable
Student 1806,4,3,3,3,3,3,3,5,Employable
Student 1807,5,4,4,4,4,4,4,5,Employable
Student 1808,4,4,4,4,4,4,4,4,Employable
Student 1809,4,4,4,4,3,3,3,5,LessEmployable
Student 1810,5,4,5,5,5,5,4,5,LessEmployable
Student 1811,3,4,3,3,3,3,3,5,LessEmployable
Student 1812,4,3,3,3,3,3,3,5,Employable
Student 1813,4,5,4,4,4,4,4,5,LessEmployable
Student 1814,5,4,4,4,4,4,4,5,Employable
Student 1815,5,5,4,5,4,4,5,4,Employable
Student 1816,4,4,4,4,5,5,5,3,Employable
Student 1817,4,3,3,4,3,3,3,5,LessEmployable
Student 1818,4,5,5,5,4,4,4,5,Employable
Student 1819,4,4,4,3,3,4,3,5,Employable
Student 1820,4,4,4,3,3,4,3,5,Employable
Student 1821,4,5,4,5,5,5,5,5,Employable
Student 1822,4,4,4,4,4,4,3,5,Employable
Student 1823,4,3,3,3,3,3,2,5,LessEmployable
Student 1824,3,3,3,2,3,3,3,5,LessEmployable
Student 1825,4,4,3,3,4,4,3,5,Employable
Student 1826,4,4,3,3,3,3,3,5,Employable
Student 1827,4,4,4,3,3,3,3,3,Employable
Student 1828,5,3,3,4,3,3,3,5,Employable
Student 1829,4,4,4,4,4,4,4,5,Employable
Student 1830,4,4,3,4,3,4,4,5,Employable
Student 1831,5,5,5,5,5,5,4,5,LessEmployable
Student 1832,3,4,4,4,3,4,4,5,Employable
Student 1833,4,3,3,2,3,3,2,5,LessEmployable
Student 1834,3,3,3,3,3,2,2,4,LessEmployable
Student 1835,4,4,3,4,4,4,3,5,LessEmployable
Student 1836,3,3,3,3,3,3,3,4,LessEmployable
Student 1837,5,3,3,3,3,3,3,4,LessEmployable
Student 1838,4,4,4,4,4,4,4,5,LessEmployable
Student 1839,4,4,4,5,5,4,4,5,LessEmployable
Student 1840,4,3,3,4,5,4,3,5,LessEmployable
Student 1841,5,4,5,4,4,4,4,5,Employable
Student 1842,5,4,4,4,4,4,4,3,Employable
Student 1843,5,4,5,5,5,5,4,5,Employable
Student 1844,4,3,3,3,5,3,3,3,LessEmployable
Student 1845,5,5,5,5,5,4,4,4,Employable
Student 1846,5,5,4,4,5,5,4,3,Employable
Student 1847,4,4,4,4,3,3,3,3,LessEmployable
Student 1848,5,5,5,5,5,4,4,3,Employable
Student 1849,5,4,4,4,4,5,4,5,Employable
Student 1850,5,5,5,5,5,5,4,5,Employable
Student 1851,4,3,4,4,3,4,3,5,LessEmployable
Student 1852,4,3,4,4,3,3,3,3,LessEmployable
Student 1853,5,5,4,5,5,4,4,5,LessEmployable
Student 1854,4,4,4,5,5,4,3,5,LessEmployable
Student 1855,5,4,5,5,5,5,5,5,Employable
Student 1856,5,3,3,4,5,3,3,3,Employable
Student 1857,5,5,5,5,4,5,4,5,Employable
Student 1858,5,5,4,5,4,5,5,5,Employable
Student 1859,4,4,3,3,3,4,4,3,LessEmployable
Student 1860,5,5,5,5,5,4,4,5,Employable
Student 1861,5,5,5,5,5,4,4,5,Employable
Student 1862,5,4,5,5,5,4,4,3,Employable
Student 1863,5,4,5,5,5,4,4,5,Employable
Student 1864,4,3,4,3,4,3,3,5,LessEmployable
Student 1865,5,4,5,5,4,4,4,5,LessEmployable
Student 1866,5,3,4,4,3,4,3,5,LessEmployable
Student 1867,5,3,3,3,4,3,3,3,LessEmployable
Student 1868,5,4,5,5,5,4,4,5,Employable
Student 1869,5,5,5,5,5,4,4,3,Employable
Student 1870,5,4,5,5,5,4,4,5,Employable
Student 1871,5,5,5,5,5,5,4,5,Employable
Student 1872,5,4,5,5,5,4,4,5,Employable
Student 1873,5,5,5,5,5,5,4,5,Employable
Student 1874,5,4,5,5,4,4,4,3,Employable
Student 1875,5,3,4,4,4,4,3,5,LessEmployable
Student 1876,4,4,4,4,3,4,4,5,LessEmployable
Student 1877,5,4,5,5,5,4,4,4,Employable
Student 1878,4,5,4,4,4,5,4,5,Employable
Student 1879,4,3,3,3,3,3,3,5,Employable
Student 1880,4,4,4,4,5,4,4,5,LessEmployable
Student 1881,3,3,3,4,3,3,3,5,Employable
Student 1882,4,4,4,3,3,3,3,5,Employable
Student 1883,4,4,4,3,4,3,3,4,LessEmployable
Student 1884,4,4,4,4,4,4,4,4,Employable
Student 1885,3,3,3,4,3,3,3,5,Employable
Student 1886,5,5,3,5,3,5,5,5,Employable
Student 1887,4,4,4,4,4,4,4,5,Employable
Student 1888,4,5,5,5,5,5,5,5,Employable
Student 1889,4,4,4,4,4,4,4,4,Employable
Student 1890,4,3,3,3,3,3,3,5,Employable
Student 1891,3,4,3,4,3,4,3,5,Employable
Student 1892,4,4,4,4,4,4,4,5,LessEmployable
Student 1893,4,3,3,3,4,3,4,5,LessEmployable
Student 1894,4,4,4,4,3,4,3,4,Employable
Student 1895,3,4,4,4,3,4,3,5,Employable
Student 1896,5,4,4,4,4,4,4,5,Employable
Student 1897,4,4,4,3,3,4,4,5,Employable
Student 1898,3,4,4,3,4,4,3,5,LessEmployable
Student 1899,4,3,2,3,2,2,3,5,Employable
Student 1900,4,3,4,3,4,3,3,4,Employable
Student 1901,4,4,3,4,3,4,3,5,LessEmployable
Student 1902,4,4,4,4,3,3,3,5,Employable
Student 1903,5,3,3,4,3,3,3,4,LessEmployable
Student 1904,4,3,3,3,3,3,2,5,Employable
Student 1905,3,4,4,4,4,4,4,5,Employable
Student 1906,4,5,4,5,4,4,4,5,Employable
Student 1907,4,4,4,3,4,4,3,5,LessEmployable
Student 1908,4,4,4,4,3,4,4,5,Employable
Student 1909,5,5,5,5,5,5,4,5,Employable
Student 1910,3,3,3,3,3,2,2,4,Employable
Student 1911,4,4,4,4,4,4,3,5,LessEmployable
Student 1912,4,4,4,4,4,4,4,5,LessEmployable
Student 1913,4,3,3,3,3,3,2,5,Employable
Student 1914,5,4,4,4,4,4,4,4,Employable
Student 1915,3,3,3,3,3,3,3,5,LessEmployable
Student 1916,4,3,4,3,3,3,3,5,Employable
Student 1917,4,3,4,3,3,3,2,5,Employable
Student 1918,2,2,3,3,3,3,3,5,LessEmployable
Student 1919,4,4,3,4,3,4,3,4,LessEmployable
Student 1920,4,4,4,3,3,4,3,5,Employable
Student 1921,4,4,5,4,4,4,4,5,LessEmployable
Student 1922,5,4,4,4,4,3,3,5,LessEmployable
Student 1923,4,4,4,4,3,4,3,5,LessEmployable
Student 1924,4,4,4,4,4,4,4,5,LessEmployable
Student 1925,4,5,4,4,4,4,4,5,LessEmployable
Student 1926,5,5,4,5,5,5,5,5,Employable
Student 1927,4,4,4,4,4,4,4,5,Employable
Student 1928,5,4,4,4,4,4,3,4,LessEmployable
Student 1929,5,4,4,4,4,4,3,3,LessEmployable
Student 1930,5,5,4,4,5,4,5,3,LessEmployable
Student 1931,5,4,4,4,4,4,3,5,Employable
Student 1932,5,4,4,4,4,4,3,5,Employable
Student 1933,5,5,4,4,5,4,4,5,Employable
Student 1934,4,3,4,4,4,3,3,4,Employable
Student 1935,5,4,3,3,3,4,4,5,LessEmployable
Student 1936,5,5,5,5,5,5,5,5,Employable
Student 1937,5,4,5,5,5,5,4,5,Employable
Student 1938,5,4,5,5,5,5,4,5,Employable
Student 1939,5,3,5,4,4,3,3,5,Employable
Student 1940,5,4,5,5,5,4,4,4,Employable
Student 1941,5,3,5,4,4,4,3,4,LessEmployable
Student 1942,5,5,5,5,5,4,3,4,Employable
Student 1943,5,5,5,5,5,5,3,5,Employable
Student 1944,5,4,4,4,4,4,4,5,LessEmployable
Student 1945,4,3,4,4,4,3,3,5,LessEmployable
Student 1946,4,4,4,4,4,4,3,5,LessEmployable
Student 1947,4,4,5,4,4,4,3,5,LessEmployable
Student 1948,5,3,5,4,5,5,3,5,Employable
Student 1949,5,3,3,3,3,3,2,5,Employable
Student 1950,4,3,4,3,4,3,4,4,Employable
Student 1951,4,3,4,4,4,3,3,3,Employable
Student 1952,4,3,3,2,3,2,3,4,Employable
Student 1953,5,5,5,5,5,5,4,5,LessEmployable
Student 1954,4,3,4,3,4,3,4,5,LessEmployable
Student 1955,3,3,4,4,4,3,3,4,LessEmployable
Student 1956,4,3,4,4,4,3,3,5,Employable
Student 1957,4,4,4,4,4,3,3,5,Employable
Student 1958,4,4,5,5,4,5,5,5,LessEmployable
Student 1959,4,5,5,5,5,4,5,5,Employable
Student 1960,4,5,5,5,5,4,5,5,Employable
Student 1961,4,4,3,4,4,4,4,5,LessEmployable
Student 1962,4,3,4,4,4,3,3,4,LessEmployable
Student 1963,4,3,4,4,3,4,4,5,LessEmployable
Student 1964,3,3,4,4,4,4,4,5,LessEmployable
Student 1966,3,3,4,3,4,3,3,3,Employable
Student 1967,3,3,4,3,4,3,3,3,Employable
Student 1968,3,4,4,4,3,4,3,5,Employable
Student 1970,5,4,4,3,3,4,4,4,LessEmployable
Student 1971,4,3,4,4,3,4,3,5,LessEmployable
Student 1972,5,5,5,4,5,4,5,5,LessEmployable
Student 1973,4,2,4,4,3,3,3,5,LessEmployable
Student 1974,5,5,5,5,5,5,5,5,LessEmployable
Student 1975,4,3,3,4,3,3,3,3,Employable
Student 1976,5,4,3,3,3,3,2,3,LessEmployable
Student 1977,5,5,5,5,5,4,5,5,Employable
Student 1978,4,5,5,5,5,5,5,3,LessEmployable
Student 1979,4,5,5,3,3,5,3,5,LessEmployable
Student 1980,4,5,3,5,5,5,3,5,Employable
Student 1981,3,5,5,3,5,5,3,5,Employable
Student 1982,3,3,3,3,3,3,3,5,Employable
Student 1983,4,3,4,4,4,3,3,5,Employable
Student 1984,4,3,4,2,2,2,2,5,LessEmployable
Student 1985,3,2,3,3,3,3,3,5,LessEmployable
Student 1986,5,5,4,5,4,5,4,5,LessEmployable
Student 1987,3,4,3,4,3,4,3,5,Employable
Student 1988,4,3,3,3,3,3,3,5,Employable
Student 1989,5,4,4,4,4,4,4,5,Employable
Student 1990,4,4,4,4,4,4,4,4,Employable
Student 1991,4,4,4,4,3,3,3,5,LessEmployable
Student 1992,5,4,5,5,5,5,4,5,LessEmployable
Student 1994,4,3,3,3,3,3,3,5,Employable
Student 1995,4,5,4,4,4,4,4,5,LessEmployable
Student 1996,5,4,4,4,4,4,4,5,Employable
Student 1997,5,5,4,5,4,4,5,4,Employable
Student 1998,4,4,4,4,5,5,5,3,Employable
Student 1999,4,3,4,4,4,3,3,5,LessEmployable
Student 2000,4,5,5,5,4,4,4,5,Employable
Student 2001,4,4,4,3,3,4,3,5,Employable
Student 2002,4,4,4,3,3,4,3,5,Employable
Student 2003,4,5,4,5,5,5,5,5,Employable
Student 2004,4,4,4,4,4,4,3,5,Employable
Student 2005,4,3,3,3,3,3,2,5,LessEmployable
Student 2006,3,3,3,2,3,3,3,5,LessEmployable
Student 2007,4,4,3,3,4,4,3,5,Employable
Student 2008,4,4,3,3,3,3,3,5,Employable
Student 2009,4,4,4,3,3,3,3,3,Employable
Student 2010,5,3,3,4,3,3,3,5,Employable
Student 2011,4,4,4,4,4,4,4,5,Employable
Student 2012,4,4,3,4,3,4,4,5,Employable
Student 2013,5,5,5,5,5,5,4,5,LessEmployable
Student 2014,3,4,4,4,3,4,4,5,Employable
Student 2015,4,3,3,2,3,3,2,5,LessEmployable
Student 2016,3,3,3,3,3,2,2,4,LessEmployable
Student 2017,4,4,3,4,4,4,3,5,LessEmployable
Student 2018,3,3,3,3,3,3,3,4,LessEmployable
Student 2019,5,3,3,3,3,3,3,4,LessEmployable
Student 2020,4,4,4,4,4,4,4,5,LessEmployable
Student 2021,4,4,4,5,5,4,4,5,LessEmployable
Student 2022,4,3,3,4,5,4,3,5,LessEmployable
Student 2023,5,4,5,4,4,4,4,5,Employable
Student 2024,5,4,4,4,4,4,4,3,Employable
Student 2025,5,4,5,5,5,5,4,5,Employable
Student 2026,4,3,3,3,5,3,3,3,LessEmployable
Student 2027,5,5,5,5,5,4,4,4,Employable
Student 2028,5,5,4,4,5,5,4,3,Employable
Student 2029,4,4,4,4,3,3,3,3,LessEmployable
Student 2030,5,5,5,5,5,4,4,3,Employable
Student 2031,5,4,4,4,4,5,4,5,Employable
Student 2032,5,5,5,5,5,5,4,5,Employable
Student 2033,4,3,4,4,3,4,3,5,LessEmployable
Student 2034,4,3,4,4,3,3,3,3,LessEmployable
Student 2035,5,5,4,5,5,4,4,5,LessEmployable
Student 2036,4,4,4,5,5,4,3,5,LessEmployable
Student 2037,5,4,5,5,5,5,5,5,Employable
Student 2038,5,3,3,4,5,3,3,3,Employable
Student 2039,5,5,5,5,4,5,4,5,Employable
Student 2040,5,5,4,5,4,5,5,5,Employable
Student 2041,4,4,3,3,3,4,4,3,LessEmployable
Student 2042,5,5,5,5,5,4,4,5,Employable
Student 2043,5,5,5,5,5,4,4,5,Employable
Student 2044,5,4,5,5,5,4,4,3,Employable
Student 2045,5,4,5,5,5,4,4,5,Employable
Student 2046,4,3,4,3,4,3,3,5,LessEmployable
Student 2047,5,4,5,5,4,4,4,5,LessEmployable
Student 2048,5,3,4,4,3,4,3,5,LessEmployable
Student 2049,5,3,3,3,4,3,3,3,LessEmployable
Student 2050,5,4,5,5,5,4,4,5,Employable
Student 2051,5,5,5,5,5,4,4,3,Employable
Student 2052,5,4,5,5,5,4,4,5,Employable
Student 2053,5,5,5,5,5,5,4,5,Employable
Student 2054,5,4,5,5,5,4,4,5,Employable
Student 2055,5,5,5,5,5,5,4,5,Employable
Student 2056,5,4,5,5,4,4,4,3,Employable
Student 2057,5,3,4,4,4,4,3,5,LessEmployable
Student 2058,4,4,4,4,3,4,4,5,LessEmployable
Student 2059,5,4,5,5,5,4,4,4,Employable
Student 2060,4,5,4,4,4,5,4,5,Employable
Student 2061,4,3,3,3,3,3,3,5,Employable
Student 2062,4,4,4,4,5,4,4,5,LessEmployable
Student 2063,3,3,3,4,3,3,3,5,Employable
Student 2064,4,4,4,3,3,3,3,5,Employable
Student 2065,4,4,4,3,4,3,3,4,LessEmployable
Student 2066,4,4,4,4,4,4,4,4,Employable
Student 2067,3,3,3,4,3,3,3,5,Employable
Student 2068,5,5,3,5,3,5,5,5,Employable
Student 2069,4,4,4,4,4,4,4,5,Employable
Student 2070,4,5,5,5,5,5,5,5,Employable
Student 2071,4,4,4,4,4,4,4,4,Employable
Student 2072,4,3,3,3,3,3,3,5,Employable
Student 2073,3,4,3,4,3,4,3,5,Employable
Student 2074,4,4,4,4,4,4,4,5,LessEmployable
Student 2075,4,3,3,3,4,3,4,5,LessEmployable
Student 2076,4,4,4,4,3,4,3,4,Employable
Student 2077,3,4,4,4,3,4,3,5,Employable
Student 2078,5,4,4,4,4,4,4,5,Employable
